0,20.0
1,20.0
2,20.0
3,20.0
4,20.0
5,20.0
6,20.0
7,20.0
8,20.0
9,20.0
10,20.0
11,5.0
12,20.0
13,20.0
14,20.0
15,20.0
16,20.0
17,20.0
18,20.0
19,20.0
20,20.0
21,20.0
22,20.0
23,20.0
24,4.0
25,20.0
26,20.0
27,20.0
28,20.0
29,20.0
30,20.0
31,20.0
32,20.0
33,19.0
34,20.0
35,20.0
36,20.0
37,2.0
38,20.0
39,20.0
40,20.0
41,20.0
42,20.0
43,9.0
44,20.0
45,20.0
46,20.0
47,18.0
48,20.0
49,20.0
50,20.0
51,20.0
52,20.0
53,20.0
54,15.0
55,20.0
56,20.0
57,20.0
58,20.0
59,20.0
60,20.0
61,20.0
62,20.0
63,14.0
64,20.0
65,20.0
66,2.0
67,20.0
68,18.0
69,20.0
70,20.0
71,10.0
72,20.0
73,20.0
74,20.0
75,20.0
76,20.0
77,20.0
78,20.0
79,20.0
80,20.0
81,20.0
82,20.0
83,12.0
84,20.0
85,20.0
86,3.0
87,20.0
88,20.0
89,20.0
90,20.0
91,20.0
92,20.0
93,20.0
94,20.0
95,20.0
96,20.0
97,20.0
98,4.0
99,3.0
100,20.0
101,20.0
102,20.0
103,6.0
104,20.0
105,20.0
106,20.0
107,20.0
108,13.0
109,20.0
110,20.0
111,20.0
112,20.0
113,20.0
114,20.0
115,20.0
116,20.0
117,20.0
118,20.0
119,11.0
120,20.0
121,20.0
122,20.0
123,20.0
124,13.0
125,20.0
126,20.0
127,20.0
128,20.0
129,4.0
130,20.0
131,20.0
132,20.0
133,20.0
134,20.0
135,20.0
136,20.0
137,20.0
138,20.0
139,20.0
140,20.0
141,20.0
142,20.0
143,17.0
144,20.0
145,20.0
146,20.0
147,20.0
148,20.0
149,20.0
150,20.0
151,20.0
152,20.0
153,20.0
154,20.0
155,20.0
156,2.0
157,20.0
158,20.0
159,20.0
160,20.0
161,20.0
162,20.0
163,20.0
164,20.0
165,20.0
166,20.0
167,1.0
168,20.0
169,2.0
170,20.0
171,20.0
172,20.0
173,20.0
174,20.0
175,20.0
176,20.0
177,20.0
178,20.0
179,20.0
180,5.0
181,16.0
182,
183,20.0
184,20.0
185,20.0
186,20.0
187,20.0
188,20.0
189,20.0
190,20.0
191,20.0
192,20.0
193,20.0
194,20.0
195,20.0
196,15.0
197,20.0
198,20.0
199,20.0
200,20.0
201,20.0
202,10.0
203,20.0
204,20.0
205,20.0
206,20.0
207,20.0
208,20.0
209,20.0
210,20.0
211,20.0
212,20.0
213,2.0
214,20.0
215,20.0
216,20.0
217,20.0
218,20.0
219,20.0
220,20.0
221,20.0
222,20.0
223,20.0
224,20.0
225,20.0
226,20.0
227,20.0
228,20.0
229,20.0
230,20.0
231,20.0
232,20.0
233,20.0
234,20.0
235,20.0
236,20.0
237,20.0
238,20.0
239,20.0
240,20.0
241,20.0
242,20.0
243,20.0
244,2.0
245,2.0
246,10.0
247,20.0
248,20.0
249,20.0
250,12.0
251,20.0
252,20.0
253,20.0
254,20.0
255,20.0
256,20.0
257,20.0
258,20.0
259,20.0
260,20.0
261,18.0
262,20.0
263,20.0
264,20.0
265,20.0
266,20.0
267,20.0
268,20.0
269,20.0
270,20.0
271,5.0
272,20.0
273,20.0
274,11.0
275,20.0
276,2.0
277,20.0
278,20.0
279,20.0
280,20.0
281,20.0
282,20.0
283,20.0
284,20.0
285,20.0
286,1.0
287,20.0
288,20.0
289,20.0
290,1.0
291,20.0
292,20.0
293,20.0
294,20.0
295,20.0
296,20.0
297,15.0
298,20.0
299,20.0
300,20.0
301,20.0
302,20.0
303,20.0
304,20.0
305,20.0
306,20.0
307,5.0
308,20.0
309,19.0
310,20.0
311,20.0
312,20.0
313,20.0
314,15.0
315,20.0
316,20.0
317,2.0
318,20.0
